URL: https://teststore.automationtesting.co.uk/index.php?id_product=2&id_product_attribute=9&rewrite=brown-bear-printed-sweater&controller=product#/1-size-s, Title: Hummingbird printed sweater, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=3&id_product_attribute=13&rewrite=the-best-is-yet-to-come-framed-poster&controller=product#/19-dimension-40x60cm, Title: The best is yet to come' Framed poster, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=4&id_product_attribute=16&rewrite=the-adventure-begins-framed-poster&controller=product#/19-dimension-40x60cm, Title: The adventure begins Framed poster, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=5&id_product_attribute=19&rewrite=today-is-a-good-day-framed-poster&controller=product#/19-dimension-40x60cm, Title: Today is a good day Framed poster, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=6&rewrite=mug-the-best-is-yet-to-come&controller=product, Title: Mug The best is yet to come, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=7&rewrite=mug-the-adventure-begins&controller=product, Title: Mug The adventure begins, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=8&rewrite=mug-today-is-a-good-day&controller=product, Title: Mug Today is a good day, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_category=2&controller=category, Title: Home, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=19&rewrite=customizable-mug&controller=product, Title: Customizable mug, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=18&id_product_attribute=36&rewrite=hummingbird-notebook&controller=product#/22-paper_type-ruled, Title: Hummingbird notebook, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=17&id_product_attribute=32&rewrite=brown-bear-notebook&controller=product#/22-paper_type-ruled, Title: Brown bear notebook, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=16&id_product_attribute=28&rewrite=mountain-fox-notebook&controller=product#/22-paper_type-ruled, Title: Mountain fox notebook, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=15&rewrite=pack-mug-framed-poster&controller=product, Title: Pack Mug + Framed poster, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=14&rewrite=hummingbird-vector-graphics&controller=product, Title: Hummingbird - Vector graphics, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=13&rewrite=brown-bear-vector-graphics&controller=product, Title: Brown bear - Vector graphics, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_product=12&rewrite=mountain-fox-vector-graphics&controller=product, Title: Mountain fox - Vector graphics, Crawled: true
